Event,Date,Location,WL,Fighter_A,Fighter_B,Fighter_A_KD,Fighter_B_KD,Fighter_A_STR,Fighter_B_STR,Fighter_A_TD,Fighter_B_TD,Fighter_A_SUB,Fighter_B_SUB,Victory_Result,Victory_Method,Round,Time,Weight_Class,Title,Fight_Bonus,Perf_Bonus,Sub_Bonus,KO_Bonus,Year,Outcome
UFC Fight Night: Kape vs. Horiguchi,2026-06-20,"Las Vegas, Nevada, USA",WIN,Manel Kape,Kyoji Horiguchi,1,0,19,27,0,2,0,0,KO/TKO,Punches,3,2:42,Flyweight,0,0,1,0,0,2026,KO
UFC Fight Night: Kape vs. Horiguchi,2026-06-20,"Las Vegas, Nevada, USA",WIN,Navajo Stirling,Ion Cutelaba,0,0,52,19,0,5,0,1,KO/TKO,Punches,2,3:23,Light Heavyweight,0,0,0,0,0,2026,KO
UFC Fight Night: Kape vs. Horiguchi,2026-06-20,"Las Vegas, Nevada, USA",WIN,Christian Rodriguez,Hyder Amil,1,0,20,23,1,0,1,0,SUB,Guillotine Choke,1,3:43,Featherweight,0,0,0,0,0,2026,SUB
UFC Fight Night: Kape vs. Horiguchi,2026-06-20,"Las Vegas, Nevada, USA",WIN,Murtazali Magomedov,Melsik Baghdasaryan,0,0,5,3,1,0,1,0,SUB,Twister,1,1:17,Featherweight,0,0,1,0,0,2026,SUB
UFC Fight Night: Kape vs. Horiguchi,2026-06-20,"Las Vegas, Nevada, USA",WIN,Vinicius Oliveira,Andre Fili,1,0,105,40,0,0,0,0,KO/TKO,Elbows,2,4:56,Featherweight,0,1,0,0,0,2026,KO
UFC Fight Night: Kape vs. Horiguchi,2026-06-20,"Las Vegas, Nevada, USA",WIN,Kevin Borjas,Andre Lima,0,0,51,51,0,0,0,0,U-DEC,,3,5:00,Flyweight,0,0,0,0,0,2026,UDEC
UFC Fight Night: Kape vs. Horiguchi,2026-06-20,"Las Vegas, Nevada, USA",WIN,Bia Mesquita,Melissa Mullins,0,0,3,10,0,1,1,0,SUB,Armbar,1,3:16,Women's Bantamweight,0,0,0,0,0,2026,SUB
UFC Fight Night: Kape vs. Horiguchi,2026-06-20,"Las Vegas, Nevada, USA",WIN,Mitch Raposo,Allan Nascimento,0,1,38,58,0,0,0,0,S-DEC,,3,5:00,Flyweight,0,0,0,0,0,2026,SDEC
UFC Fight Night: Kape vs. Horiguchi,2026-06-20,"Las Vegas, Nevada, USA",WIN,Gaston Bolanos,Michael Aswell Jr.,0,0,87,105,1,0,0,0,U-DEC,,3,5:00,Featherweight,0,0,0,0,0,2026,UDEC
UFC Fight Night: Kape vs. Horiguchi,2026-06-20,"Las Vegas, Nevada, USA",WIN,Levan Chokheli,Leon Shahbazyan,1,0,6,0,0,0,0,0,KO/TKO,Punch,1,0:23,Welterweight,0,0,0,0,0,2026,KO
UFC Fight Night: Kape vs. Horiguchi,2026-06-20,"Las Vegas, Nevada, USA",WIN,Luana Santos,Karol Rosa,0,0,9,7,2,0,0,0,U-DEC,,3,5:00,Women's Bantamweight,0,0,0,0,0,2026,UDEC
UFC Fight Night: Kape vs. Horiguchi,2026-06-20,"Las Vegas, Nevada, USA",WIN,Shane Collins,Otari Tanzilovi,0,0,76,58,0,5,3,0,U-DEC,,3,5:00,Featherweight,0,0,0,0,0,2026,UDEC
UFC Freedom 250,2026-06-14,"Washington, DC, USA",WIN,Justin Gaethje,Ilia Topuria,0,1,91,97,0,1,0,0,KO/TKO,,4,5:00,Lightweight,1,1,1,0,0,2026,KO
UFC Freedom 250,2026-06-14,"Washington, DC, USA",WIN,Ciryl Gane,Alex Pereira,1,0,54,12,0,0,0,0,KO/TKO,Punches,2,1:27,Heavyweight,1,0,1,0,0,2026,KO
